"Project_ID","Status","Project_Name","Short_Name","Short_Description","Website","Eo4Society_link","Consortium","Start_Date_Project","End_Date_Project","TO","TO_E-mail","Theme1","Theme2","Theme3","Theme4","Theme5","Theme6"
109,"COMPLETED","VAD3EMECUM. Vegetation and drought: towards improved data-driven estimated of ecosystem carbon fluxes under moisture stress","(LPF) VAD3EMECUM","Integration of data streams of the sun-induced chlorophyll fluorescence, land surface temperature and vegetation optical depth into data-driven flux models for a better diagnosis of vegetative stress reactions as well as completementary information on soil moisture.","https://eo4society.esa.int/projects/vad3mecum-vegetation-and-drought-towards-improved-data-driven-estimated-of-ecosystem-carbon-fluxes-under-moisture-stress/","https://eo4society.esa.int/projects/vad3mecum-vegetation-and-drought-towards-improved-data-driven-estimated-of-ecosystem-carbon-fluxes-under-moisture-stress/","MAX PLANCK INSTITUTE FOR BIOGEOCHEMISTRY (DE)",29.04.2020,01.06.2022,"Stephen Plummer","stephen.plummer@esa.int","Land",,,,,
110,"COMPLETED","Volcanic monItoring using SenTinel sensors by an integrated Approach (VISTA)","VISTA","Development of a novel ensemble of algorithms to completely characterized the effects of volcanic emissions on land and atmosphere. The expected outcomes of the project are improvements in satellite volcanic ash/ice/water vapour particles/SO2 cloud detection and retrievals (altitude, extension, mass, concentration, aerosol optical depth and effective radius), the development of a specific ML based algorithm to map the presence of ash deposits over land and the generation of new satellite-based prototypal services.","https://www.geo-k.co/home/projects/vista/","https://eo4society.esa.int/projects/vista/","GEO-K SRL (IT),AIRES TECH PLC (GB),ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA (IT)",03.09.2019,16.11.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere","Land","Solid Earth",,,
111,"COMPLETED","Volcano Monitoring using Deep Learning","(LPF) VMDL","This project will seek to develop a deep learning based model that is able to monitor the majority of the worldâ€šsubaerial volcanoes using satellite based measurements.  This algorithm will incorporate a model that is trained solely on time series of SAR data, and so does not require pre-training on databases of natural images (e.g. ImageNet).  Additionally, the model will feature complementary and diverse inputs, such as phase, coherence, and amplitude.","https://github.com/matthew-gaddes/VolcNet","https://eo4society.esa.int/projects/vmdl/","UNIVERSITY OF LEEDS, SCHOOL OF EARTH AND ENVIRONMENT (GB)",23.06.2020,01.07.2022,"Stephen Plummer","stephen.plummer@esa.int","Land","Solid Earth",,,,
112,"COMPLETED","WACMOS Irrigation","WACMOS Irrigation","Irrigation is one of the greatest human intervention in the hydrological cycle. The knowledge of the distribution, the extent of irrigated areas and the amount of water used by irrigation is needed for different purposes: 1) modelling irrigation water requirements at the global scale, 2) assessing irrigated food production, 3) quantifying the impact of irrigation on climate, river discharge and groundwater depletion. Notwithstanding its recognized importance, to obtain high-quality information about the actual irrigated areas worldwide is nontrivial and the problem is much more pronounced in terms of the quantification of the water actually used for irrigation. In this context, the objective of the WACMOS-MED project is to understand the potential of satellite soil moisture data in detecting and quantifying irrigation at global scale.","http://hydrology.irpi.cnr.it/download-area/sm2rain-data-sets/","https://eo4society.esa.int/projects/water-cycle-multi-mission-observation-strategy-for-the-irrigation-project/","CNR-RESEARCH INSTITUTE FOR GEO-HYDROLOGICAL PROTECTION â€“ IRPI (IT)",24.01.2017,01.02.2018,"Diego Fernandez","diego.fernandez@esa.int","Land",,,,,
113,"COMPLETED","WATER CYCLE CHANGES CHARACTERISED FROM ATMOSPHERIC MOISTURE RECYCLING (WEATHER)","(LPF) WEATHER","The work proposed in this fellowship looks to address this gap by bringing together satellite and reanalysis datasets that represent water in different phases or stages within the hydrological cycle.","https://eo4society.esa.int/projects/weather/","https://eo4society.esa.int/projects/weather/","UNIVERSITY OF LEICESTER (GB)",29.04.2020,01.06.2022,"Stephen Plummer","stephen.plummer@esa.int","Atmosphere",,,,,
114,"COMPLETED","Water vapour Isotopologue Flask sampling for the Validation Of Satellite data (WIFVOS)","WIFOS","Development of a novel instrument to measure profiles of water vapour isotopologues from ground to the upper troposphere on a small (<20kg payload) balloon-borne platform","https://eo4society.esa.int/projects/wifvos/","https://eo4society.esa.int/projects/wifvos/","FINNISH METEOROLOGICAL INSTITUTE (FI),Universiteit Utrecht (NL),UNIVERSITY OF BERGEN (NO)",03.03.2021,03.03.2022,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
115,"COMPLETED","WIFT: Water vapour Isotopologues From TROPOMI","(LPF) WIFT","The subject of this project is to exploit these measurements to retrieve the water vapour isotopologues H216O, HDO and, if possible, H218O.","https://eo4society.esa.int/projects/wift-water-vapour-isotopologues-from-tropomi/","https://eo4society.esa.int/projects/wift-water-vapour-isotopologues-from-tropomi/","Netherlands Institute for Space Research (NWO-I) (NL)",17.10.2018,31.10.2020,"Stephen Plummer","stephen.plummer@esa.int","Atmosphere",,,,,
116,"COMPLETED","OVALIE: Oceanic intrinsic Variability versus Atmospheric forced variabiLIty of sea level changE","(LPF) OVALIE","Global mean sea level rise is one of the most direct consequences of actual global warming. Since the beginning of the 20th century, global mean sea level experiences an unabated increase of 1.1-1.9 mm.yr-1 recorded by tide gauges. Based on satellite altimetry and since 1993, global mean sea level rises at a higher rate of 3 mm.yr-1. This higher rate denotes a possible acceleration in this global rise. Actual global mean sea level rise mainly reflects global ocean warming (through thermal expansion of sea water) and land ice melt (from Greenland, Antarctica and mountain glaciers). Monitoring precisely these climate variables is mandatory to better understand processes at work under current global warming and to validate climate models used for projections. The OVALIE project proposes to scientifically investigate and partition the respective contribution of the atmospheric forced variability versus the oceanic intrinsic variability for the sea level observations (satellite data -based on Topex/Poseidon, Jason 1-2-3, ERS1, ERS2, ENVISAT, Altika and GRACE- and in situ measurements â€“based on Argo floats and other in situ measurements).
","https://eo4society.esa.int/projects/ovalie-oceanic-intrinsic-variability-versus-atmospheric-forced-variability-of-sea-level-change/","https://eo4society.esa.int/projects/ovalie-oceanic-intrinsic-variability-versus-atmospheric-forced-variability-of-sea-level-change/","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS) (FR)",17.10.2018,31.10.2020,"Stephen Plummer","stephen.plummer@esa.int","Oceans",,,,,
117,"COMPLETED","S2 for Land and Water, Change Detection/Multi-temporal","S2 for Land and Water-Change Detection","The project aims at defining the scientific methods and the related prototype algorithms for addressing three main challenges with the multispectral and multiresolution Sentinel 2 images: 1) change detection; 2) analysis of image time series; and 3) updating of land-cover maps.","http://rsde.fbk.eu/projects/esa-seom-s2-4sci-land-and-water","https://eo4society.esa.int/projects/s2-for-land-and-water-change-detection-multi-temporal/","UNIVERSITÃ€ DEGLI STUDI DI TRENTO (IT), FONDAZIONE BRUNO KESSLER FBK (IT)",01.12.2015,30.04.2018,"Espen Volden","espen.volden@esa.int","Land",,,,,
118,"COMPLETED","World Ocean circulation","WOC","The objectives of this activity are to (i) develop and validate innovative methodologies allowing to optimize the synergetic capacity offered by satellite data, in situ measurements and numerical models for improving the retrieval of upper-layer ocean circulation products over 4 high-priority pilot areas chosen as to represent at best the diversity of the world ocean circulation regimes, i.e. one polar sea area, one western boundary current, one upwelling region, one coastal area, and ii) in line with the objectives of the United Nations Decade of Ocean Science for Sustainable Development, demonstrate the unique capacity of the innovative products to support effective actions aiming at procuring a clean, safe, sustainably harvested and productive ocean by targeting FOUR high priority pilot applications, i.e. Pollution Monitoring, Safe Navigation, Sustainable Fisheries and Renewable Marine Energies.","https://www.worldoceancirculation.org/","https://eo4society.esa.int/projects/world-ocean-circulation/","OCEANDATALAB (FR), AGENCIA ESTATAL CONSEJO SUPERIOR DE (ES),CNR-RESEARCH INSTITUTE FOR GEO-HYDROLOGICAL PROTECTION â€“ IRPI (IT),IFREMER (FR),NANSEN ENVIRONMENTAL AND REMOTE SENSING CENTER (NO),Ocean Next (FR),Universiteit Utrecht (NL)",28.04.2020,31.05.2022,"Marie-Helene Rio","marie-helene.rio@esa.int","Oceans",,,,,
119,"COMPLETED","ConsIstent Retrieval of Cloud Aerosol Surface","CIRCAS","CIRCAS aims at providing a set of atmospheric (cloud and aerosol) and surface (albedo) products derived from S3A/SLSTR observations retrieved using the same radiative transfer physics and assumptions.The retrieval is based on the CISAR (Combined Inversion of Surface and Atmosphere pRoperties) algorithm. CISAR is an advanced mathematical method developed by Rayference for the joint retrieval of surface reflectance and atmospheric (cloud and aerosols) properties from observations acquired by space-based imagers.The CISAR algorithm relies on the FASTRE radiative transfer model that describes surface reflectance and atmospheric absorption/scattering processes. The lowest level represents the surface. The lower layer hosts the aerosols. Molecular scattering and absorption are also taking place in that layer which is radiatively coupled with the surface for both the single and the multiple scattering. The upper layer is only subject to molecular absorption.The inversion of the FASTRE model within the CISAR algorithm against satellite observations provides accurate estimates of the surface reflectance field, aerosol or cloud optical thickness and single scattering properties in each processed spectral band. An estimate of the retrieval uncertainty is also provided.As the proposed method retrieved both cloud and aerosol properties with the same retrieval algorithm, no cloud mask is needed to perform the retrieval. Additionally, the same algorithm can be applied over any type of surfaces, including dark or bright surfaces or water bodies.","http://www.circas.eu/","https://eo4society.esa.int/projects/consistent-retrieval-of-cloud-aerosol-surface/","RAYFERENCE SPRL (BE), BROCKMANN CONSULT GMBH (DE)",17.07.2017,02.10.2019,"Simon Pinnock","simon.pinnock@esa.int","Atmosphere",,,,,
120,"ONGOING","Ocean Health - Open Ocean Biodiversity","BOOMS","Biodiversity in the Open Ocean: Mapping, Monitoring and Modelling (BOOMS) aims to provide the best possible characterisation of oceanic seascapes and its relationship to Essential Biodiversity Variables (EBVs, Pereira et al, 2013) globally. The project will produce a >10-year time series of seascapes based on 4-km resolution remote sensing data over the global ocean, combining independent datasets from advanced algorithms of ocean colour and sea surface temperature. A novel research plan will be designed and implemented that aims to describe plans to consolidate and advance the current understanding of open ocean EBV, specifically targeting species of three different trophic levels, their relation to spatio-temporal variations of seascapes, their impact on Earth system processes, and effects on socio-economically important and marine policy activities. This plan will include a wide-ranging consultation with relevant stakeholders and early-adopters. The project will create or add to databases of relevant Earth Observation and in situ data, notably as input for the computation of ecoregions. BOOMS will use the 4-km version of the long-term climate-quality ESA Ocean Colour CCI dataset in combination with frontal structures derived from ESA Sea Surface Temperature CCI, and in specific areas use the new 1-km product from Ocean Colour-CCI. In-situ data will be mined from the scientific literature, existing databases, and be provided by our collaborators, notably in the North Atlantic Ocean, Tropical, South Atlantic and Southern Ocean. BOOMS will investigate prototype products and perform a thorough validation of the products by comparison with state-of-the-art dynamic ecoregions products and in situ observations.","https://www.booms-project.org/","https://eo4society.esa.int/projects/booms/","PML (UK), NKUA (GR)",01.02.2022,01.02.2024,"Marie-Helene Rio","marie-helene.rio@esa.int","Oceans",,,,,
122,"ONGOING","Biodiversity+Precursors - Coastal","BiCOME","Increasing pressure on nature due to anthropogenic drivers is leading to a reduction of global biodiversity and its associated benefits at the planetary scale. In coastal environments, the most important direct drivers of biodiversity loss are fishing, land and sea use, climate change and pollution. These drivers have accelerated in the last 50 years, and they are predicted to continue, despite international efforts in the last decades. To guide further action, it is therefore urgent and important to develop â€œfit-for-purposeâ€ observation tools. These observations should be capable of assessing and monitoring how the community structure and function of coastal ecosystems will respond to the anthropogenic and natural drivers in a changing climate. BiCOME aims to develop and provide the necessary evidence and promote a set of global Earth Observation products for biodiversity science and policy for the coastal zone.",,"https://eo4society.esa.int/projects/bicome/","PML (UK), University of Nantes (FR), German Aerospace Center (DE), HYGEOS (FR)",14.10.2021,14.10.2023,"Marie-Helene Rio","marie-helene.rio@esa.int","Oceans",,,,,
124,"ONGOING","deteCtion and threAts of maRinE Heat waves (CAREHeat)","CareHEAT","Oceans are responsible for absorbing circa 90% of the Earth’s heat budget and 30% of the human-induced carbon emissions. While anthropogenic forcing (i.e., the rising of atmospheric CO2 concentration) is leading to the global warming of the climate system, the full disclosure of its role in all the physical processes involved in these changes still requires research advances to the current scientific knowledge, from an Earth Systems perspective. Indeed, the ocean’s importance is not only one of climate system stabilization (i.e., reaching the equilibrium state, in response to external radiative forcing), but it is also related to its role as a significant services provider, in what is concerned with both marine ecosystems and blue economy activities. Hence, climate-induced effects in these two ocean-based domains are affected not only by long term changes but also by short-lived extreme events. It is under this scope that Marine Heat Waves (MHW) have been the topic of recent scientific advances and discussions, i.e., the realization that climate change is potentially linked with increasing frequencies of abnormal warm seawater temperature events, affecting living organisms and the overall ecosystems, ocean, and planetary health. CAREHeat aims to improve current MHW detection and characterization methodology and to advance the understanding of the physical processes involved in MHW development. It will also assess MHW impact on marine Ecosystems and Biogeochemistry, and Ecosystem Services.","https://careheat.org/","https://eo4society.esa.int/projects/careheat/","CNR-INSTITUTE OF MARINE SCIENCES-ISMAR (IT)+ATLANTIC - Association for an Atla (PT),CLS COLLECTE LOCALISATION SATELLITES (FR),IFREMER (FR),ITALIAN NATIONAL AGENCY FOR NEW TECHNOLOGIES, ENERGY AND SUSTAINABLE ECONOMIC DEVELOPMENT (ENEA) (IT),Mercator Ocean International (FR)",01.02.2022,01.02.2024,"Marie-Helene Rio","marie-helene.rio@esa.int","Oceans",,,,,
125,"ONGOING","Ocean-Health-Ocean Acidification","Ocean-Health-OA","This activity makes part of the ESA Ocean Science Cluster and contributes to the joint EC-ESA Earth System Science Initiative launched in February 2020 by the European Space Agency and the European Commission (EC) Directorate-General for Research and Innovation (DG RTD) to jointly advance Earth System Science and its response to the global challenges that society is facing in the onset of this century. In particular, this activity is a contribution to the EC-ESA Flagship Action on Ocean Health aimed at developing advanced ocean observations and products and enhancing the scientific understanding of the ocean's role in the Earth and climate system and its responses to management actions to contribute to reverse the cycle of decline in ocean health and improve conditions for sustainable development of the Ocean.",,,"University of Exeter (UK), PML (UK), ETHZ (SW), Ifremer (FR), OceanDataLab (FR)",01.02.2022,01.02.2024,"Marie-Helene Rio","marie-helene.rio@esa.int","Oceans",,,,,
126,"ONGOING","Space4SafeSea","Space4SafeSea","The objective of the Space4SafeSea project is to develop and validate for maritime safety applications an ocean state product based on synergetic use of a new merged ocean current and surface wave data in the Great Agulhas region, an area synonymous of hazardous sea state and rogue waves due to the interaction between the wave and the current. The new merged ocean current will be derived from Altimeter data and AIS-based current using the Multiscale Inversion for Ocean Surface Topography (MIOST) variational tool. The directional spectrum of sea surface waves from SWIM will be used in conjunction with a wave-model output and swell ray propagation model.",,"Space4SafeSea - eo science for society (esa.int)","E-Odyn (FR), CLS (FR)",02.07.2021,02.07.2022,"Marie-Helene Rio","marie-helene.rio@esa.int","Oceans",,,,,
127,"ONGOING","Mediterranean Sea Regional Initiative - Land-based pollution","MedEOS","This activity is part of the ESA Regional Initiatives programme. Its objective is to support the implementation of regional priorities in the Mediterranean region by i) developing and delivering a customized set of EO based products that fully exploit the large volumes of EO data from the Sentinel missions and other EO missions and ii) achieving measurable progresses in embedding this EO-derived information into the strategies and cooperation actions within the Mediterranean region. The specific objective of the Sea Application project is to improve the characterisation, quantification and monitoring of land-based pollution in the Mediterranean coastal waters by optimizing the use of the Sentinel missions and other relevant space and in-situ datasets to develop multi-mission high resolution gap-free maps of water quality parameters (e.g. Chl-a, turbidity, TSM, nutrients, bacteriological concentration,â€¦) and added-value innovative products (e.g. river plumes contour,â€¦) over the period 2015-present.","https://medeos.deimos.pt/","MedEOS - Mediterranean coastal water monitoring - eo science for society (esa.int)","Deimos Engineering and Systems (ES), CERTH â€“ CENTRE FOR RESEARCH & TECHN (GR),Deimos Engenharia (PT),I-SEA (FR),Murmuration (FR),SUEZ EAU FRANCE SAS (FR),TELESPAZIO FRANCE (FR),kartECO â€“ Environmental and Energy (GR)",09.03.2021,09.03.2023,"Marie-Helene Rio","marie-helene.rio@esa.int","Oceans",,,,,
128,"COMPLETED","Earth System Data Lab (ESDL)","ESDL","The main objective of the Earth System Data Lab (ESDL) project was to establish and operate a service to the scientific community that greatly facilitates access and exploitation of the multivariate data set in the ESDL and by this means advances the understanding of the interactions between the ocean-land-atmosphere system and society. To this end, the main tasks of the project fall into four main categories: infrastructure and operations, data sets and tools, use cases and scientific exploitation, and communication and outreach. The core part of the ESDL is the data in analysis-ready form, together with tools and methods to generate, access, and exploit the ESDL. The software to generate the ESDL and the data access APIs have been developed in the preceding project CAB-LAB. The modular open source approach adopted in CAB-LAB has proven to be convenient, flexible, and powerful and effectively meets user requirements. Access the ESDL in github: https://github.com/esa-esdl","http://www.earthsystemdatalab.net","https://eo4society.esa.int/projects/earth-system-data-lab-esdl/","BROCKMANN CONSULT GMBH (DE), CENTRE FOR RESEARCH ON THE EPIDEMILOGY OF DISASTERS, SCHOOL OF PUBLIC HEALTH, UNIVERSITE CATHOLIQUE DE LOUVAIN (BE), MAX PLANCK INSTITUTE FOR BIOGEOCHEMISTRY (DE), NERC, PLYMOUTH MARINE LABORATORY (GB)",01.05.2018,31.12.2020,"Anca Anghelea","anca.anghelea@esa.int","Land","Oceans","Atmosphere",,,
129,"COMPLETED","Irrigation+","Irrigation+","Irrigation represents one of the most impacting human intervention in the water cycle considering that irrigated agriculture accounts for about 70 percent of water withdrawn worldwide from lakes, rivers and aquifers. Indeed, the expected increasing population in the future and consequently the increasing demand of food will require an improvement in the management of irrigation with a strong interest in reducing water withdrawals and increasing irrigation efficiency. In this context, the knowledge of the distribution and extent of irrigated areas as well as the amount of water used for irrigation plays a central role for both modelling irrigation water requirements at global scale and quantifying the impact of irrigation on climate, river discharge and groundwater depletion. On the other hand, obtaining high-quality information about the actual irrigated areas worldwide is challenging especially in terms of quantification of the water actually used for irrigation. This problem is well known in most of large scale hydrological/land surface models that do not include or are characterized by simplified irrigation schemes. The main goal of Irrigation+ project is to explore, develop and validate advanced Earth Observation-based algorithms and techniques for irrigation mapping, quantification and detection of seasonal timing of irrigation from field to regional/global scale. This especially capitalizing on the latest advances in Earth Observations and on the advent of the European Space Agency (ESA) Sentinel missions in synergy with other data types and models. The production of local to global satellite databases at different scales will be the basis to operationalization of irrigation products followed by impact assessment studies.","https://esairrigationplus.org/","https://eo4society.esa.int/projects/irrigation-expro/","CNR – INSTITUTE FOR ELECTROMAGNETIC SENSING OF THE ENVIRONMENT (IREA) (IT),ELEAF B.V. (NL),KU. KATH. KATHOLIEKE UNIVERSITEIT T (BE),OBSERVATORI DE L EBRE (ES),Spire Global Luxembourg S.a r.l. (LU),TECHNISCHE UNIVERSITAT WIEN (TU WIEN) (AT),UNIVERSITE TOULOUSE III – PAUL SABATIER (FR)",01.03.2020,31.10.2022,"Espen Volden","espen.volden@esa.int","Land",,,,,
130,"COMPLETED","Polar Low detection from S-1 data","Polar Low detection from S-1 data","This project aims at early detection of Polar Lows from Sentinel-1 imagery using deep learning methods. The project is reaching its end and current work is focused on finalizing documentation and publications.",,"https://eo4society.esa.int/training_uploads/OceanScienceCluster2021/presentations/GRAHN-Jakob_presentation.pdf","NORCE (NO)",04.02.2020,24.02.2021,,,"Oceans",,,,,
131,"ONGOING","Handling of 3D Clouds in Trace Gas Retrievals - 3DCTRL","3DCTRL","3DCTRL project aims to evaluate cloud correction methodologies in Copernicus Sentinel-4, Sentinel-5 and Sentinel-5p trace gas retrieval schemes and to explore ways to improve handling of realistic clouds in the retrievals of atmospheric species. Cloud shadow fraction, cloud top height, cloud optical depth, solar zenith and viewing angles, were identified as the metrics being the most important in identifying 3D cloud impacts on NO2 TVCD retrievals. For a solar zenith angle less than about 40° the synthetic data show that the NO2 TVCD bias is typically below 10%. For larger solar zenith angles both synthetic and observational data often show NO2 TVCD bias on the order of tens of %. In 3DCTRL, fast retrieval algorithms for 3D cloudy scenes will be designed. Very promising is a retrieval algorithm based on a linearized one-dimensional radiative transfer model, in which the direct beam and its derivative with respect to the total column are computed in a three-dimensional atmosphere. The performance of new methods for cloud correction will be evaluated against the present operational products and independent measurements. 3DCTRL project has the following main objectives: (a) Generate synthetic reference datasets in which true cloud properties including their 3D structure and vertical distribution are known by means of 3D radiative transfer simulations, realistic synthetic data of cloud properties will be obtained from large-eddy simulation (LES) model (b) Explore ways to improve the handling of realistic clouds in trace gas retrievals, specifically for NO2 (c) Testing and evaluation of improved approaches for cloud correction by application on synthetic and real TROPOMI-S5P data.","https://websites.auth.gr/3dctrl/","https://eo4society.esa.int/projects/3dctrl/","ARISTOTLE UNIV. OF THESSALONIKI (GR)BELGIAN INSTITUTE OF SPACE AERONOMY (BIRA-IASB) (BE),DLR - GERMAN AEROSPACE CENTER (DE),LUDWIG-MAXIMILIAN UNIVERSITAT MUNCHEN (DE),NILU - NORWEGIAN INSTITUTE FOR AIR RESEARCH (NO)",29.04.2022,30.05.2024,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
132,"ONGOING","4DMED-Hydrology","4DMED-Hydrology","4DMED-Hydrology aims at developing an advanced, high-resolution, and consistent reconstruction of the Mediterranean terrestrial water cycle by using the latest developments of Earth Observation (EO) data as those derived from the ESA-Copernicus missions. In particular, by exploiting previous ESA initiatives, 4DMED-Hydrology intends: to demonstrate how this EO capacity can help to describe the interactions between complex hydrological processes and anthropogenic pressure (often difficult to model) in synergy with model-based approaches; to exploit synergies among EO data to maximize the retrieval of information of the different water cycle components (i.e., precipitation, soil moisture, evaporation, runoff, river discharge) to provide an accurate representation of our environment and advanced fit-for-purpose decision support systems in a changing climate for a more resilient society. 4DMED-Hydrology will focus on four test areas, namely the Po river basin in Italy, the Ebro River basin in Spain, the Hérault River basin in France and the Medjerda River basin in Tunisia, which are representatives of climates, topographic complexity, land use, human activities and hydrometeorological hazards of the Mediterranean Region (MR). The developed products will be then extended to the entire region. The resulting EO-based products (i.e., experimental datasets, EO products) will be made available in an Open Science catalogue hosted and operated by ESA.","https://www.4dmed-hydrology.org/","https://eo4society.esa.int/projects/4dmed-hydrology/","CNR - INSTITUTE FOR ELECTROMAGNETIC SENSING OF THE ENVIRONMENT (IREA) (IT)CIMA RESEARCH FOUNDATION (IT),ESTELLUS SAS (FR),EURAC RESEARCH - ACCADEMIA EUROPEA (IT),GHENT UNIVERSITY (BE),INSTITUT DE RECHERCHE POUR LE DÉVELOPPEMENT (IRD) (FR),KU. KATH. KATHOLIEKE UNIVERSITEIT T (BE),OBSERVATORI DE L EBRE (ES),TECHNISCHE UNIVERSITAT WIEN (TU WIEN) (AT),VANDERSAT B.V. (NL)",01.01.2022,31.12.2023,"Espen Volden","espen.volden@esa.int","Land",,,,,
133,"ONGOING","Advancing the Study of Extreme Weather Events with Data, Deep Learning Methods and Climate Analysis","Advancing the Study of Extreme Weather Events with Data, Deep Learning Methods and Climate Analysis","This project aims to develop a more accurate and reliable way of detecting and tracking extreme weather events, such as hurricanes and atmospheric rivers, which are becoming increasingly common due to global warming. Currently, detecting and tracking these events in observational data or model projections relies on human-engineered rules which can be inconsistent and unreliable. To address this, we propose to use deep learning techniques to develop models that can learn from diverse data and alleviate the need for subjective rules, while providing useful additional information such as uncertainty estimates.. To develop these models, we will create a large dataset of expert- and crowd-sourced annotations of extreme weather events, including hurricanes, atmospheric rivers, and blocking events. Such large curated data sets have enabled breakthroughs in many disciplines such as biology and computer vision, and will enable large-scale data-driven research of extremes and their complex behaviour.. We will then develop and evaluate a suite of deep learning models based on the new dataset. These deep learning models will be used to detect and track extreme weather events in climate model output and observational data. We will furthermore demonstrate concrete scientific use-cases of our data set and methods by working with domain experts to conduct novel analyses of these extreme weather events and their impact on the European Union. All data and methods from this project will be made openly accessible and we will provide tools and documentation for simple use of the resulting data and models for further research and education by non-experts and experts alike. Thus, our work has the potential to improve our understanding of extreme weather events and their impact on society.",,"https://eo4society.esa.int/projects/advancing-the-study-of-extreme-weather-events-with-data-deep-learning-methods-and-climate-analysis/","EIDGENÖSSISCHE TECHNISCHE HOCHSCHULE ZURICH (ETH ZURICH) (CH)",22.10.2021,31.12.2022,"Rochelle Schneider","rochelle.schneider@esa.int","Atmosphere","Land",,,,
134,"ONGOING","AI4DROUGHT","AI4DROUGHT","AI4DROUGHT is part of the AI4SCIENCE activity. The first AI4SCIENCE ITT was launched in 2021 and had a focus on Extreme Events, Multi-Hazards and Compound Events, and contributes to the ESA Extremes and Natural Disasters Science Cluster. The AI4SCIENCE ITT had 2 main objectives:Advancing Earth System Science: advancing our capacity to combine EO and AI to address a major scientific challenge: The observation, understanding and characterisation of multi-hazards, compound and cascade events and its impacts on society and ecosystems.Advancing Artificial Intelligence for EO: unlocking the full potential of Artificial Intelligence for Earth System Science with focus on two main AI challenges: physics-driven Artificial Intelligence and explainable AI. The AI4DROUGHT project will develop a methodology for the prediction of drought climatic events over the Iberian peninsula.","https://www.ai4drought.com/","https://eo4society.esa.int/projects/ai4drought/","Lobelia Earth, S.L. (ES)Barcelona Supercomputing Centre (BSC) (ES),FUNDACIÓ EURECAT (ES)",14.12.2021,10.01.2023,"Anca Anghelea","anca.anghelea@esa.int","Land",,,,,
135,"ONGOING","AI4DTE","AI4DTE","The project analyses the potential of artificial intelligence technologies for a digital twin of the earth and determine a roadmap for further developments. digital twin of the earth will allow science and policy users alike to gain insights of our earth system and will help with decision support.There are two key user groups of a digital twin of the earth: Scientific users will benefit from the data access and modelling capabilities that a digital twin of the earth provides Policy users will benefit from explanations and post-processed data that is accessible also to non-expert users. A digital twin of the earth shall allow access to a diverse set of data sources of our planet and the results of different kinds of models. These outputs shall be available on different detail levels, such that they can be used by both scientific users as well as policy users. The team focuses on identifying AI technologies that a digital twin of the earth can benefit from. We will both identify existing capabilities that are already available and will point out potential for further developments.",,"https://eo4society.esa.int/projects/ai4dte/","DFKI GMBH (DE)VISION IMPULSE UG (HAFTUNGSBESCHRÄN (DE)",13.12.2021,15.01.2023,"Pierre-Philippe Mathieu","pierre.philippe.mathieu@esa.int","Land","Oceans","Atmosphere",,,
136,"ONGOING","AI4DTE Software stack","AI4DTE SW stack","Digital Twins of the Earth address decision support under uncertainty, providing a prognostic, evidence-based decision support capability representing the dynamic relationships between the physical and natural environments (the Earth System) and society (such as socioeconomic pathways, adaptation and mitigation actions or governance). In accordance with this vision, the uses cases that may be envisioned for the digital twins must provide, inter alia: Quantifiable and comparable impact predictions in the Earth System and/or downstream impact sectors; Actionable information and evidence-based decision support based on comparison of predicted impacts resulting from varying initial conditions; Support to ex-ante Impact Assessment in the form of “what-if“ scenario analysis; and in addition, Must be explainable in major steps of modelling and simulations, enabling model inspection and user interpretation, and Estimate and propagate uncertainty relevant to users (e.g. for policy makers uncertainty could refer to the confidence levels of a predictive capability of a simulation) in all steps of the use case.",,"https://eo4society.esa.int/projects/ai4dte-software-stack/","TELESPAZIO VEGA UK LIMITED (GB)Rothamsted Research Ltd (GB),Rothamsted Research Ltd (GB),UKRI Rutherford Appleton Laboratory (GB),UNIVERSITAT POLITÈCNICA DE VALÈNCIA (ES),UNIVERSITY OF EDINBURGH (GB),UNIVERSITY OF LEICESTER (GB)",20.12.2021,01.03.2023,"Sveinung Loekken","sveinung.loekken@esa.int","Land","Oceans","Atmosphere",,,
